Logged,dhost,remarks,src,peerHost,ruleName,dst,app,deviceDirection,hostName
05/09/2023 10:12,172.29.100.157,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""172.29.100.11""]",uk-mgmt-ad-1.mgmt.local,DNS response resolves to dead IP address,"[""172.29.100.157""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
05/09/2023 10:12,172.29.100.157,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""172.29.100.11""]",uk-mgmt-ad-1.mgmt.local,DNS response resolves to dead IP address,"[""172.29.100.157""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,,xxxxx
