Logged,processFilePath,processCmd,endpointHostName,parentCmd
2023-09-08 11:20:09,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 11:18:11,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 11:16:17,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 11:14:18,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 11:12:28,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 11:10:32,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 11:08:36,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 11:06:35,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 11:04:42,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 11:03:29,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1176,"""C:\Program Files\Fortinet\FortiClient\scheduler.exe"""
2023-09-08 11:02:39,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 11:02:36,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1176,"""C:\Program Files\Fortinet\FortiClient\scheduler.exe"""
