Logged,dhost,src,peerHost,ruleName,act,app,deviceDirection,deviceMacAddress,hostName,potentialRisk,dst,remarks
2023-09-21 16:01:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:01:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:01:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:01:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:01:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:02:23,,,,MA-01-002,,,,,,,,
2023-09-21 16:02:46,,,,MA-01-002,,,,,,,,
2023-09-21 16:00:13,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,suggestqueries.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: suggestqueries.google.com""]"
2023-09-21 16:00:13,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,suggestqueries.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: suggestqueries.google.com""]"
2023-09-21 16:03:23,,,,MA-01-002,,,,,,,,
2023-09-21 16:00:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:00:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:00:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:00:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:00:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:00:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:59:50,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,time.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: time.google.com""]"
2023-09-21 15:59:50,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,time.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: time.google.com""]"
2023-09-21 15:59:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:59:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:59:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:59:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:58:50,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,kidsmanagement-pa.clients6.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: kidsmanagement-pa.clients6.google.com""]"
2023-09-21 15:58:50,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,kidsmanagement-pa.clients6.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: kidsmanagement-pa.clients6.google.com""]"
2023-09-21 15:58:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:58:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:58:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:57:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:57:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:57:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:57:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:57:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:57:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:56:30,,,,Lockdown,"[""Assessment (Allow)""]",,,,,,,
2023-09-21 15:56:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:56:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:56:00,,,,Lockdown,"[""Assessment (Allow)""]",,,,,,,
2023-09-21 15:56:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:56:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:56:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:56:00,,,,Lockdown,"[""Assessment (Allow)""]",,,,,,,
2023-09-21 15:56:00,,,,Lockdown,"[""Assessment (Allow)""]",,,,,,,
2023-09-21 15:56:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:59:10,,,,MA-01-030,,,,,,,,
2023-09-21 15:59:25,,,,MA-01-002,,,,,,,,
2023-09-21 15:59:01,,,,MA-01-002,,,,,,,,
2023-09-21 15:58:13,,,,MA-01-002,,,,,,,,
2023-09-21 15:59:01,,,,MA-01-002,,,,,,,,
2023-09-21 15:58:12,,,,MA-01-002,,,,,,,,
2023-09-21 15:59:28,,,,MA-01-002,,,,,,,,
2023-09-21 15:59:06,,,,MA-01-002,,,,,,,,
2023-09-21 15:58:27,,,,MA-01-002,,,,,,,,
2023-09-21 15:59:26,,,,MA-01-002,,,,,,,,
2023-09-21 15:59:25,,,,MA-01-002,,,,,,,,
2023-09-21 15:59:18,,,,MA-01-002,,,,,,,,
2023-09-21 15:58:28,,,,MA-01-002,,,,,,,,
2023-09-21 15:55:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:55:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:55:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:55:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:55:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:55:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:59:06,,,,MA-01-002,,,,,,,,
2023-09-21 15:54:54,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 15:54:31,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,pay.sandbox.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: pay.sandbox.google.com""]"
