Logged,eventSubClass,pAttackPhase,tags,dhost,app,remarks,dpt,shost,hostName,tacticId
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",192.168.141.65,POP3,"[""IP address: 192.168.141.65"", ""Port: 56213""]",56213,192.168.141.33,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",152.114.96.151,TLS,"[""IP address: 152.114.96.151"", ""Port: 11000""]",11000,152.114.96.150,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",152.114.96.151,TLS,"[""IP address: 152.114.96.151"", ""Port: 9080""]",9080,152.114.96.150,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.82.52,HTTP,"[""IP address: 172.30.82.52"", ""Port: 83""]",83,172.30.81.72,penaltynotice.homeoffice.gov.uk,"[""TA0011""]"
13/09/2023 07:00,,,"[""MITRE.T1071"",""XSAE.F2061"",""MITRE.T1071.003""]",192.168.141.53,HTTP,"[""URL: http://scr-trn-ib-cb1.health.local:8091/pools""]",8091,192.168.113.12,scr-trn-ib-cb1.health.local,
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.14.38,HTTP,"[""IP address: 172.30.14.38"", ""Port: 8091""]",8091,172.30.14.45,couchbase,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.82.52,HTTP,"[""IP address: 172.30.82.52"", ""Port: 83""]",83,172.30.81.72,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.82.52,HTTP,"[""IP address: 172.30.82.52"", ""Port: 82""]",82,172.30.81.72,,"[""TA0011""]"
13/09/2023 07:00,,,"[""MITRE.T1071"",""XSAE.F2061"",""MITRE.T1071.003""]",192.168.141.53,HTTP,"[""URL: http://scr-trn-ib-cb1.health.local:8091/pools/default?uuid=3c115021e0f88026e1a43d8a77a9aea5""]",8091,192.168.113.12,scr-trn-ib-cb1.health.local,
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.104.48,HTTP,"[""IP address: 10.102.104.48"", ""Port: 2380""]",2380,10.102.104.49,etcd2,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.82.53,HTTP,"[""IP address: 172.30.82.53"", ""Port: 82""]",82,172.30.81.72,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.2.91,HTTP,"[""IP address: 172.30.2.91"", ""Port: 88""]",88,172.30.3.68,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.2.92,HTTP,"[""IP address: 172.30.2.92"", ""Port: 87""]",87,172.30.3.68,,"[""TA0011""]"
